puuid,region
AwJKZqCZ3SyOQ5_Zx3w15HxP-SF9NmbEUQpachzmW8SA1iGOHZfGijcZWjwEW9s3BIaUVXvQtz0YmQ,AMERICAS
FtBQTl-ZIMWFdQ0uWmLpWfhI81k2UEVqRyTF-A129kkiYrOVDTO61a-6e3fmzvzQRX6oYDuL4e_aoQ,EUROPE
OW8XFkVyU0GODJpBY_DtsZTdSz5t2eyiIF8XjvOoAPBFH2BJ2pDj95Yn4DHS0g5iBgWrKaqeqK8wZA,ASIA
_V7YwKJtBcUUtTBEMbCoy5757qTEZ010vBVShtMYE12F1QedwTXVrh365CIhOZMMTGUQ46-OgZn4UA,SEA
zCYTUzqI1-o3Wc0QFi73FI0ZW2DdkgkMLERHuBYWX3uT8rdesqm6tqGBr45wb3l7PsriN6CSKCnUkA,AMERICAS
ntSdp9FCKXvPx8DDPTxG7spjhSbYDY34M62BCalWYi2q_v6Z4WZMqC37DyJe7uG1sxjJlmcpBNB_vA,SEA
wHiNdenA8OJTKaySeG393rVTW7uj2U96enSJS1RtpxlVYSsaH9cmjWET13OtPbXrVIX45af6oNksmQ,AMERICAS
g8A95W923gxUAowUNEqXWzrVUB-4cBFN6nzxXp7tAOFtLVcovbdfy2PvnlY1TVYlhPlASc7zbbLqrg,SEA
NUuK_xmQcKwRlSqJSjO-92xnH7Ey0_z_Qu4wCM6TEVdKqN24Sdu9VkzcHqiQMUEc3kjmr3Mq9RUaZw,SEA
xa1pL1-TYKXl-KaZrBZ6uZew2bqwQ0xr8R2lTzGzleOt5htdVgiaudMFYcazv3da4UP_Vl2UmpeGzg,SEA
TQ9tGT5cjf2RYBW2RTQ2v6K5X3guUBnPq-HhrEaa7ajNLFQ8V0Z-x4Ybx2RHWbIfDD4LoDiyW7IMNw,ASIA
YT-dfmgTlMWfGF_CsQ4U_qlLUnuIvv0x6m4vMkyVtvscsA03p1JSwFTrYN4wOpqmTQJhgWTv8JvKWQ,SEA
22L6HrXnQy04tK9AfijHmT0jJzKqA8OwUwEPtvsiIFiv-389sNCyXVlPgGR7uVIE-R2LUUE7oKyqhQ,EUROPE
AIBu8vkk4svTQC1oYSRElmkSHwMjVbGER2ktX23vexuiRD8SjCJSId3LYzRPCCA3PvST2NJ_UkS-ag,SEA
tN0Ly78aSAGxbRKmbaNtDmQEpAzi94B_djFN3fL2WFiQdnA7PTQkygBrW8DCbKcYFa9V0_sNMBYPFQ,SEA
SkT6Dfk3X6s0bFE1hKCRe81tbPeveZLnJWwgdY0J1ZME-jcMl06NtIWaZomX5R0KxgzJB-iiCFrUHQ,SEA
lxDhxuwAhvllqjA6A99wdcnjYUxnWZ9tQ3ZZUyvQvatXsZzMRXoDvJ8BtNCld8G1XMl6TkxzNpyu5g,SEA
41rjNwe6_xplf_SspuA9BvPEkzCzoIlUszQ5_hzXYhoa14km1DEbgbqqrXOLjDgEjFF6nBu2yhzR5g,ASIA
fPLdR7OLS6AKVdmCGHGMfK0HSw54RHjLLcexSeGvSv3WpLvd6646S95KtQdGGGnrMoVQ3yn2x3iZ_Q,ASIA
ty-myhnktrj5sqdKweVTEzPqQXCp_sV0MKGl0tq-SOArE-NxpWZBCIzMrFiZVcvSWuH3bZW7gNsEhg,SEA
TPydLxksCq-Vs7d7PACdYzagl8Cz4QiW9mS35Re_77LeXPiPVW3FsIA-G7dZUYxj0pqq0bI2M9JbEw,EUROPE
W8ryU8VP5_Jg96gTW0ToRDe5TvMfFUl2Yfd4Ni6lTTqqYQnb-Lpx96ECtnR5aWdRvTqlSeSZyrUsNQ,AMERICAS
02lJ7LJqsuMeVmOK4hE56Q6EGK4JLg3ypVufK2sJGSMGGzmJIbOBSh3BFZ6UQiOW2_4hsnW0Oov8Tw,ASIA
r9Q64HOWWllV63xq8Wb5HB8uPCR7S-_eYxkrUXr2wPjaBCxbYaIjY_LmXXmGC_JMI5XvSwElKV8eFw,AMERICAS
-RKrUyVYkW2fsODGIVr_4yqwaLFf1-5hL7atmOaSPT-cuwlbqmaWo9maFyxDZjOPF0JOPNz-qRr-4w,EUROPE
2483uv4jcGa0zbp1est0NzU9tJFJ38dmtLQyBMBukTP3FHJJGU9bCxi8ERl9sUoywzrshyNdyfxaYQ,EUROPE
veYWBs3KJWbJU7qzm7zSU-G9mOJ-llUkA4iEe8CjwLyM0lFyp0pmNk3OtS33P-3BAZCXkr2FuAsP6g,ASIA
nrHdWcVQrwaj4GhXeZ1bIvNOD-Y5T566Ckiz_kpwyTjozLqcxWCtEkx-M5W9cWKOv3AHOMzMbUVBTw,SEA
3pV1eJGxwZiznWUYGsRM5oYeAO8evasOrpYtEBUDe2oBIK86wE5Ka9fDKmeimFPY7BNInBB7JzkrYQ,ASIA
fod2xwGtHTmcxCpz7AdM_4W1rG-TNACOeOqmumClhR5XSfwZ1lWdECZMLqnEW4AznOTTSoIgR5SdjQ,AMERICAS
eb79gAPtTMOq3Rk8Z-hkbsBekHGYoTNdl-tTqq9QBa3RlGhKMe_oFnEKF4htzqA8uPhBj4q9vX4EBQ,AMERICAS
0XjL_XdWda9-GRKNWiCcqhfuFGXupjKgGckZvTZ0l5w-y58FIm0cR3uOOwjnSgN_rV6g87sJb4xQTQ,AMERICAS
yYD4-C0K9AuuxLBkzLTBfcrw2A19NPvW5NlwX5sgd9m0VRk-CyNEG_JUArImL3Ingtg55ePd1EeQVg,SEA
i4R3iieMo_Yrc8iWDIDMqx8yTrYP2J8M33JprrKBtnLAA0dCBHkFgG_naxU_mAhM6cob43BPTXE9RA,EUROPE
jY_UEQG1L3sJMF3ysKG2_eR6BVE8-3K0IDoZ00eiSosYLAeBChZr2qwmWIRyISipbxUYoP-mP5i01w,EUROPE
yCDBh4b8PICAnm_PxNPP0zA0AKsYGZKXemE-Hj82IBlcp9UlmUOWXKrbqMT9H95xYO2geGen95HtBQ,EUROPE
wLTrgVfXg9mYcQnR8QfVXyuKA_5QIlRVAVTeMBln6jRe4f7POBW3Y6xvP00nZ4ywLjrB6kk0zyfCRg,SEA
CGym_-rPfZuo1ncbdsr5AsAr6xZaVRgilwe4IBGlKlvwPEf-l5MmM_BkJjNX27UkhTrxOAyDe3okhQ,SEA
r_4wnkKtqG8_XmE9a3pP1-auPM9RfwTvQZS9jDAZ9ZXonLZw8EgXsCSVlQ_hinEY8ZaL66zuxn_fYQ,SEA
f9rA0nMtAfcmaowkecqEN8oa4B4-w1_A5YpG30dtomSdjbLFouE6qjFQFamSoeQ_AI6Nw4kgvmP27w,AMERICAS
5qDcbkM_ysPtBVvMsa1Mv1xSY8uophK2m-QLBejzneNXcmwtTpfA5lg2LUM2XG9BFcCsIt-LJs3Jxg,SEA
5eq6OxxRYbu6OPVJoJ0oDNTG4zmGKqp3G3zy6ZccnqjhhnS8lNYi9Jo8m_pn9ny8jvz-VYTBLHSr1Q,EUROPE
e7WSJswO0RWYZVDk5_5eWNfz_1NJWuw8-QFYkUOQzZJsGe3Gh1jOx2g69HgdJoObfal6rSzWhiOOrw,AMERICAS
psDN_TeuaMv5E6oMChI1o5HWXArVFBVi56aeDQZHjKyoj2YvcM0a2ZtAKBheaLdMPzoPk9AaW_-3ig,SEA
E4yt5_gOeHa0d3BQKWwV0uLhM1b7_kyAeqQpzioWgLtBLbtK8aOxJdJStSyFmauIk-EB05lTbwfbHQ,EUROPE
znovZKPAS-G9Fk6BiqBXuy4ffrafacsDOucgwyc9uaodICnsoLGPkHKnmYabJdBdQKWakXkWGVwopg,AMERICAS
dIoQ_bmxy0KJZ9FCg832FAsLxm9WtPiHzNxtl5UWScsz1OhGZ4p6vZqUENo9zMA7CoyidlemWFkizA,SEA
pNeeRrGIbXR6--gmQcnF5nIzlKrMLoPbuwhIMWN5xebOke-PIPuAh7ggu3YJzg2i_bkymtXQUwmisg,AMERICAS
7y0s8IqT-M-2vQhk48guM7OgHJL_SuqbohsQXqh1cMFxpyA8A7e2MazBiposWE5-CAyilSvFq4Lvtg,SEA
